code,description
I69.244,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
I69.249,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side
I69.251,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
I69.252,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
I69.253,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
I69.254,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
I69.259,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side
I69.261,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side
I69.262,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side
I69.263,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side
I69.264,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side
I69.265,"""Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral"""
I69.269,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side
I69.290,Apraxia following other nontraumatic intracranial hemorrhage
I69.291,Dysphagia following other nontraumatic intracranial hemorrhage
I69.292,Facial weakness following other nontraumatic intracranial hemorrhage
I69.293,Ataxia following other nontraumatic intracranial hemorrhage
I69.298,Other sequelae of other nontraumatic intracranial hemorrhage
I69.30,Unspecified sequelae of cerebral infarction
I69.310,Attention and concentration deficit following cerebral infarction
I69.311,Memory deficit following cerebral infarction
I69.312,Visuospatial deficit and spatial neglect following cerebral infarction
I69.313,Psychomotor deficit following cerebral infarction
I69.314,Frontal lobe and executive function deficit following cerebral infarction
I69.315,Cognitive social or emotional deficit following cerebral infarction
I69.318,Other symptoms and signs involving cognitive functions following cerebral infarction
I69.319,Unspecified symptoms and signs involving cognitive functions following cerebral infarction
I69.320,Aphasia following cerebral infarction
I69.321,Dysphasia following cerebral infarction
I69.322,Dysarthria following cerebral infarction
I69.323,Fluency disorder following cerebral infarction
I69.328,Other speech and language deficits following cerebral infarction
I69.331,Monoplegia of upper limb following cerebral infarction affecting right dominant side
I69.332,Monoplegia of upper limb following cerebral infarction affecting left dominant side
I69.333,Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
I69.334,Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
I69.339,Monoplegia of upper limb following cerebral infarction affecting unspecified side
I69.341,Monoplegia of lower limb following cerebral infarction affecting right dominant side
I69.342,Monoplegia of lower limb following cerebral infarction affecting left dominant side
I69.343,Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
I69.344,Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
I69.349,Monoplegia of lower limb following cerebral infarction affecting unspecified side
I69.351,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
I69.352,Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
I69.353,Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
I69.354,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
I69.359,Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
I69.361,Other paralytic syndrome following cerebral infarction affecting right dominant side
I69.362,Other paralytic syndrome following cerebral infarction affecting left dominant side
I69.363,Other paralytic syndrome following cerebral infarction affecting right non-dominant side
I69.364,Other paralytic syndrome following cerebral infarction affecting left non-dominant side
I69.365,"""Other paralytic syndrome following cerebral infarction, bilateral"""
I69.369,Other paralytic syndrome following cerebral infarction affecting unspecified side
I69.390,Apraxia following cerebral infarction
I69.391,Dysphagia following cerebral infarction
I69.392,Facial weakness following cerebral infarction
I69.393,Ataxia following cerebral infarction
I69.398,Other sequelae of cerebral infarction
I69.80,Unspecified sequelae of other cerebrovascular disease
I69.810,Attention and concentration deficit following other cerebrovascular disease
I69.811,Memory deficit following other cerebrovascular disease
I69.812,Visuospatial deficit and spatial neglect following other cerebrovascular disease
I69.813,Psychomotor deficit following other cerebrovascular disease
I69.814,Frontal lobe and executive function deficit following other cerebrovascular disease
I69.815,Cognitive social or emotional deficit following other cerebrovascular disease
I69.818,Other symptoms and signs involving cognitive functions following other cerebrovascular disease
I69.819,Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
I69.820,Aphasia following other cerebrovascular disease
I69.821,Dysphasia following other cerebrovascular disease
I69.822,Dysarthria following other cerebrovascular disease
I69.823,Fluency disorder following other cerebrovascular disease
I69.828,Other speech and language deficits following other cerebrovascular disease
I69.831,Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
I69.832,Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
I69.833,Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
I69.834,Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
I69.839,Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
I69.841,Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
I69.842,Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
I69.843,Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
I69.844,Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
I69.849,Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
I69.851,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
I69.852,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
I69.853,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
I69.854,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
I69.859,Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
I69.861,Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
I69.862,Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
I69.863,Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
I69.864,Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
I69.865,"""Other paralytic syndrome following other cerebrovascular disease, bilateral"""
I69.869,Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
I69.890,Apraxia following other cerebrovascular disease
I69.891,Dysphagia following other cerebrovascular disease
I69.892,Facial weakness following other cerebrovascular disease
I69.893,Ataxia following other cerebrovascular disease
I69.898,Other sequelae of other cerebrovascular disease
I69.90,Unspecified sequelae of unspecified cerebrovascular disease
I69.920,Aphasia following unspecified cerebrovascular disease
I69.921,Dysphasia following unspecified cerebrovascular disease
I69.922,Dysarthria following unspecified cerebrovascular disease
I69.923,Fluency disorder following unspecified cerebrovascular disease
I69.928,Other speech and language deficits following unspecified cerebrovascular disease
I69.931,Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
I69.932,Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
I69.933,Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
I69.934,Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
I69.939,Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
I69.941,Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
I69.942,Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
I69.943,Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
I69.944,Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
I69.949,Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
I69.951,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
I69.952,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
I69.953,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
I69.954,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
I69.959,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
I69.961,Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
I69.962,Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side
I69.963,Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side
I69.964,Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
I69.965,"""Other paralytic syndrome following unspecified cerebrovascular disease, bilateral"""
I69.969,Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side
I69.990,Apraxia following unspecified cerebrovascular disease
I69.991,Dysphagia following unspecified cerebrovascular disease
I69.992,Facial weakness following unspecified cerebrovascular disease
I69.993,Ataxia following unspecified cerebrovascular disease
I69.998,Other sequelae following unspecified cerebrovascular disease
M80.00XD,"""Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with routine healing"""
M80.00XG,"""Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with delayed healing"""
M80.00XK,"""Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with nonunion"""
M80.00XP,"""Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with malunion"""
M80.00XS,"""Age-related osteoporosis with current pathological fracture, unspecified site, sequela"""
M80.011D,"""Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with routine healing"""
M80.011G,"""Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing"""
M80.011K,"""Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion"""
M80.011P,"""Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with malunion"""
M80.011S,"""Age-related osteoporosis with current pathological fracture, right shoulder, sequela"""
M80.012D,"""Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with routine healing"""
M80.012G,"""Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing"""
M80.012K,"""Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with nonunion"""
M80.012P,"""Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with malunion"""
M80.012S,"""Age-related osteoporosis with current pathological fracture, left shoulder, sequela"""
M80.019D,"""Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with routine healing"""
M80.019G,"""Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with delayed healing"""
M80.019K,"""Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with nonunion"""
M80.019P,"""Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with malunion"""
M80.019S,"""Age-related osteoporosis with current pathological fracture, unspecified shoulder, sequela"""
M80.021D,"""Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with routine healing"""
M80.021G,"""Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with delayed healing"""
M80.021K,"""Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with nonunion"""
M80.021P,"""Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with malunion"""
M80.021S,"""Age-related osteoporosis with current pathological fracture, right humerus, sequela"""
M80.022D,"""Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with routine healing"""
M80.022G,"""Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with delayed healing"""
M80.022K,"""Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with nonunion"""
M80.022P,"""Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with malunion"""
M80.022S,"""Age-related osteoporosis with current pathological fracture, left humerus, sequela"""
M80.029D,"""Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with routine healing"""
M80.029G,"""Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with delayed healing"""
M80.029K,"""Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with nonunion"""
M80.029P,"""Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with malunion"""
M80.029S,"""Age-related osteoporosis with current pathological fracture, unspecified humerus, sequela"""
M80.031D,"""Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with routine healing"""
M80.031G,"""Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with delayed healing"""
M80.031K,"""Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with nonunion"""
M80.031P,"""Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with malunion"""
M80.031S,"""Age-related osteoporosis with current pathological fracture, right forearm, sequela"""
M80.032D,"""Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with routine healing"""
M80.032G,"""Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with delayed healing"""
M80.032K,"""Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with nonunion"""
M80.032P,"""Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with malunion"""
M80.032S,"""Age-related osteoporosis with current pathological fracture, left forearm, sequela"""
M80.039D,"""Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with routine healing"""
M80.039G,"""Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with delayed healing"""
M80.039K,"""Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with nonunion"""
M80.039P,"""Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with malunion"""
M80.039S,"""Age-related osteoporosis with current pathological fracture, unspecified forearm, sequela"""
M80.041D,"""Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with routine healing"""
M80.041G,"""Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with delayed healing"""
M80.041K,"""Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with nonunion"""
M80.041P,"""Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with malunion"""
M80.041S,"""Age-related osteoporosis with current pathological fracture, right hand, sequela"""
M80.042D,"""Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with routine healing"""
M80.042G,"""Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with delayed healing"""
M80.042K,"""Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with nonunion"""
M80.042P,"""Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with malunion"""
M80.042S,"""Age-related osteoporosis with current pathological fracture, left hand, sequela"""
M80.049D,"""Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with routine healing"""
M80.049G,"""Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with delayed healing"""
M80.049K,"""Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with nonunion"""
M80.049P,"""Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with malunion"""
M80.049S,"""Age-related osteoporosis with current pathological fracture, unspecified hand, sequela"""
M80.051D,"""Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with routine healing"""
M80.051G,"""Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with delayed healing"""
M80.051K,"""Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with nonunion"""
M80.051P,"""Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with malunion"""
M80.051S,"""Age-related osteoporosis with current pathological fracture, right femur, sequela"""
M80.052D,"""Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with routine healing"""
M80.052G,"""Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with delayed healing"""
M80.052K,"""Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with nonunion"""
M80.052P,"""Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with malunion"""
M80.052S,"""Age-related osteoporosis with current pathological fracture, left femur, sequela"""
M80.059D,"""Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with routine healing"""
M80.059G,"""Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with delayed healing"""
M80.059K,"""Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with nonunion"""
M80.059P,"""Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with malunion"""
M80.059S,"""Age-related osteoporosis with current pathological fracture, unspecified femur, sequela"""
M80.061D,"""Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with routine healing"""
M80.061G,"""Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with delayed healing"""
M80.061K,"""Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with nonunion"""
M80.061P,"""Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with malunion"""
M80.061S,"""Age-related osteoporosis with current pathological fracture, right lower leg, sequela"""
M80.062D,"""Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with routine healing"""
M80.062G,"""Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with delayed healing"""
M80.062K,"""Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with nonunion"""
M80.062P,"""Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with malunion"""
M80.062S,"""Age-related osteoporosis with current pathological fracture, left lower leg, sequela"""
M80.069D,"""Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with routine healing"""
M80.069G,"""Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with delayed healing"""
M80.069K,"""Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with nonunion"""
M80.069P,"""Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with malunion"""
M80.069S,"""Age-related osteoporosis with current pathological fracture, unspecified lower leg, sequela"""
M80.071D,"""Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with routine healing"""
M80.071G,"""Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with delayed healing"""
M80.071K,"""Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with nonunion"""
M80.071P,"""Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with malunion"""
M80.071S,"""Age-related osteoporosis with current pathological fracture, right ankle and foot, sequela"""
M80.072D,"""Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with routine healing"""
M80.072G,"""Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with delayed healing"""
M80.072K,"""Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with nonunion"""
M80.072P,"""Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with malunion"""
M80.072S,"""Age-related osteoporosis with current pathological fracture, left ankle and foot, sequela"""
M80.079D,"""Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with routine healing"""
